,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
283,Moonrise Kingdom,2012,7.8,84.0,321993,45.51,94
284,The Exorcist,1973,8.0,81.0,364448,232.91,122
285,The Deer Hunter,1978,8.1,86.0,314457,48.98,183
286,The Machinist,2004,7.7,61.0,361393,1.08,101
287,Mulan,1998,7.6,71.0,259630,120.62,88
288,"Monsters, Inc.",2001,8.1,79.0,823672,289.92,92
289,Just Mercy,2019,7.6,68.0,49386,,137
290,The Lives of Others,2006,8.4,89.0,362496,11.29,137
291,Black Hawk Down,2001,7.7,74.0,366767,108.64,144
292,The Pursuit of Happyness,2006,8.0,64.0,454067,163.57,117
293,Children of Men,2006,7.9,84.0,468106,35.55,109
294,Up,2009,8.2,88.0,945357,293.0,96
295,Moneyball,2011,7.6,87.0,374632,75.61,133
296,The Curious Case of Benjamin Button,2008,7.8,70.0,595006,127.51,166
297,The Wizard of Oz,1939,8.0,92.0,372890,2.08,102
298,The Little Mermaid,1989,7.6,88.0,239853,111.54,83
299,Land of Mine,2015,7.8,75.0,36389,0.44,100
300,What's Eating Gilbert Grape,1993,7.8,73.0,217261,9.17,118
301,The Count of Monte Cristo,2002,7.8,61.0,129875,54.23,131
302,Amadeus,1984,8.3,88.0,372225,51.97,160
303,Blue Is the Warmest Colour,2013,7.7,89.0,140096,2.2,180
304,Serenity,2005,7.8,74.0,284545,25.51,119
305,Amélie,2001,8.3,69.0,709196,33.23,122
306,Cast Away,2000,7.8,73.0,529942,233.63,143
307,Downfall,2004,8.2,82.0,334017,5.51,156
308,Finding Nemo,2003,8.1,90.0,957778,380.84,100
309,Lion,2016,8.0,69.0,216861,51.74,118
310,Taken,2008,7.8,51.0,567716,145.0,90
311,What Ever Happened to Baby Jane?,1962,8.1,75.0,50632,4.05,134
312,Princess Mononoke,1997,8.4,76.0,348420,2.38,134
313,True Grit,2010,7.6,80.0,314773,171.24,110
314,Airplane!,1980,7.7,78.0,216863,83.4,88
315,Saw,2004,7.6,46.0,381791,56.0,103
316,The Game,1997,7.8,61.0,348670,48.32,129
317,Crash,2004,7.7,66.0,421518,54.58,112
318,My Cousin Vinny,1992,7.6,68.0,108554,52.93,120
319,Big Fish,2003,8.0,58.0,417814,66.26,125
320,Mary Poppins,1964,7.8,88.0,159219,102.27,139
321,"O Brother, Where Art Thou?",2000,7.7,69.0,290106,45.51,107
322,The Sandlot,1993,7.8,55.0,79688,32.42,101
323,Chinatown,1974,8.1,92.0,297562,8.49,130
324,What We Do in the Shadows,2014,7.7,76.0,159666,3.33,86
325,Willy Wonka & the Chocolate Factory,1971,7.8,67.0,180143,4.0,100
326,The Magnificent Seven,1960,7.7,74.0,88336,4.91,128
327,The Graduate,1967,8.0,83.0,255446,104.95,106
328,The King's Speech,2010,8.0,88.0,644248,138.8,118
329,Grave of the Fireflies,1988,8.5,94.0,239383,,89
330,Mystic River,2003,7.9,84.0,422613,90.14,138
331,Gattaca,1997,7.8,64.0,282897,12.34,106
332,The Blind Side,2009,7.6,53.0,296221,255.96,129
333,The Last of the Mohicans,1992,7.7,76.0,152522,75.51,112
334,The Florida Project,2017,7.6,92.0,97176,5.9,111
335,Young Frankenstein,1974,8.0,80.0,144484,86.3,106
336,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,97.0,454442,0.28,95
337,King Kong,1933,7.9,90.0,79822,10.0,100
338,Empire of the Sun,1987,7.7,62.0,116910,22.24,153
339,3 Idiots,2009,8.4,67.0,349057,6.53,170
340,Do the Right Thing,1989,8.0,93.0,91135,27.55,120
341,Road to Perdition,2002,7.7,72.0,248872,104.45,117
342,Rushmore,1998,7.7,86.0,171144,17.11,93
343,Incredibles 2,2018,7.6,80.0,254527,608.58,118
344,The Bourne Identity,2002,7.9,68.0,512240,121.66,119
345,Slumdog Millionaire,2008,8.0,84.0,803763,141.32,120
346,Remember the Titans,2000,7.8,48.0,199687,115.65,113
347,Groundhog Day,1993,8.0,72.0,583546,70.91,101
348,Misery,1990,7.8,75.0,186739,61.28,107
349,Papillon,1973,8.0,58.0,122533,53.27,151
350,Midnight in Paris,2011,7.7,81.0,391472,56.82,94
351,Kill Bill: Vol. 2,2004,8.0,83.0,689985,66.21,137
352,The Thin Red Line,1998,7.6,78.0,174271,36.4,170
353,Scent of a Woman,1992,8.0,59.0,267538,63.9,156
354,Million Dollar Baby,2004,8.1,86.0,641387,100.49,132
355,Halloween,1978,7.7,87.0,234816,47.0,91
356,Star Trek Into Darkness,2013,7.7,72.0,464976,228.78,132
357,Donnie Brasco,1997,7.7,76.0,282815,41.91,127
358,Edward Scissorhands,1990,7.9,74.0,450556,56.36,105
359,The Quiet Man,1952,7.7,,35313,10.55,129
360,As Good as It Gets,1997,7.7,67.0,277915,148.48,139
361,Aladdin,1992,8.0,86.0,376683,217.35,90
362,Gone Baby Gone,2007,7.6,72.0,252669,20.3,114
363,Gravity,2013,7.7,96.0,774338,274.09,91
364,Searching,2018,7.6,71.0,143196,26.02,102
365,Rear Window,1954,8.4,100.0,448372,36.76,112
366,Lethal Weapon,1987,7.6,68.0,238616,65.21,109
367,Minority Report,2002,7.6,80.0,511912,132.07,145
368,Hell or High Water,2016,7.6,88.0,206484,26.86,102
369,Rosemary's Baby,1968,8.0,96.0,196172,,137
370,Fantastic Mr. Fox,2009,7.9,83.0,203133,21.0,87
371,Giant,1956,7.6,84.0,34464,,201
372,Before Sunrise,1995,8.1,77.0,275925,5.54,101
373,Life of Pi,2012,7.9,79.0,585289,124.99,127
374,The Royal Tenenbaums,2001,7.6,76.0,269322,52.36,110
375,Mr. Nobody,2009,7.8,63.0,218346,0.0,141
376,The Last Samurai,2003,7.7,55.0,403003,111.11,154
377,Blood Diamond,2006,8.0,64.0,503540,57.37,143
378,Falling Down,1993,7.6,56.0,173550,40.9,113
379,The Boondock Saints,1999,7.8,44.0,228307,0.03,108
380,The Secret in Their Eyes,2009,8.2,80.0,195310,6.39,129
381,Moon,2009,7.9,67.0,337351,5.01,97
382,3:10 to Yuma,2007,7.7,76.0,291297,53.61,122
383,Gifted,2017,7.6,60.0,101525,24.8,101
384,Y Tu Mamá También,2001,7.6,88.0,116666,13.62,106
385,The Searchers,1956,7.9,94.0,81098,,119
386,Monty Python and the Holy Grail,1975,8.2,91.0,504371,1.23,91
387,Blue Velvet,1986,7.7,76.0,183167,8.55,120
388,Being John Malkovich,1999,7.7,90.0,314913,22.86,113
389,How to Train Your Dragon,2010,8.1,75.0,673147,217.58,98
390,Magnolia,1999,8.0,77.0,291659,22.46,188
391,500 Days of Summer,2009,7.7,76.0,475717,32.39,95
392,In Bruges,2008,7.9,67.0,393062,7.76,107
393,Vertigo,1958,8.3,100.0,368220,3.2,128
394,First Blood,1982,7.7,61.0,228532,47.21,93
395,Man on Fire,2004,7.7,47.0,332093,77.91,146
396,Cat on a Hot Tin Roof,1958,8.0,84.0,45602,17.57,108
397,Zombieland,2009,7.6,73.0,523399,75.59,88
398,District 9,2009,7.9,81.0,641501,115.65,112
399,Sense and Sensibility,1995,7.6,84.0,103766,43.18,136
400,The Warriors,1979,7.6,65.0,94714,22.49,92
401,The Boy in the Striped Pajamas,2008,7.8,55.0,192725,9.03,94
402,Monty Python's Life of Brian,1979,8.1,77.0,370401,20.05,94
403,The Great Escape,1963,8.2,86.0,226717,12.1,172
404,Wild Tales,2014,8.1,77.0,179825,3.11,122
405,The Untouchables,1987,7.9,79.0,284842,76.27,119
406,Dangal,2016,8.4,,159765,12.39,161
407,Despicable Me,2010,7.6,72.0,504389,251.51,95
408,It's a Wonderful Life,1946,8.6,89.0,409679,,130
409,A Silent Voice: The Movie,2016,8.1,78.0,51357,,130
410,The Conversation,1974,7.8,85.0,100148,4.42,113
411,Who Framed Roger Rabbit,1988,7.7,83.0,183340,156.45,104
412,The Butterfly Effect,2004,7.6,30.0,454313,57.94,113
